OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,OPPORTUNITY STATUS,POSTED DATE,CLOSE DATE
https://www.grants.gov/search-results-detail/356973,Annual Program Statement (APS) for Fiscal Year 2025,DOS-SAU,posted,11/05/2024,06/30/2025
https://www.grants.gov/search-results-detail/356970,Designing Materials to Revolutionize and Engineer our Future,NSF,posted,11/05/2024,02/04/2025
https://www.grants.gov/search-results-detail/356971,Alumni Outreach Program FY2025,DOS-MKD,posted,11/05/2024,02/14/2025
https://www.grants.gov/search-results-detail/356974,USAID/Indonesia-Disaster Management Capacity Support Activity,USAID-IND,posted,11/05/2024,11/26/2024
https://www.grants.gov/search-results-detail/356976,ROSES 2024: F.5 Future Investigators in NASA Earth and Space Science and Technology,NASA-HQ,posted,11/05/2024,02/05/2025
https://www.grants.gov/search-results-detail/356975,NARMS Cooperative Agreement Program to Strengthen Antibiotic Resistance Surveillance in Retail Food Specimens,HHS-FDA,forecasted,11/05/2024,
https://www.grants.gov/search-results-detail/355625,Merit Switzer Research Fellowships for Doctoral Dissertation Research,HHS-ACL,posted,11/05/2024,01/14/2025
https://www.grants.gov/search-results-detail/356979,Cancer Prevention and Control Clinical Trials Planning Grant Program (R34 Clinical Trials Optional),HHS-NIH11,posted,11/05/2024,10/25/2027
https://www.grants.gov/search-results-detail/356978,Cancer Prevention and Control Clinical Trials Planning Grant Program (U34 Clinical Trials Optional),HHS-NIH11,posted,11/05/2024,10/25/2027
https://www.grants.gov/search-results-detail/356977,Environmental System Science (ESS),PAMS-SC,posted,11/05/2024,03/13/2025
https://www.grants.gov/search-results-detail/356948,GRANT OPPORTUNITY 2024/2025: Statement of Interest,DOS-MLT,posted,11/04/2024,01/01/2099
https://www.grants.gov/search-results-detail/356949,Alumni Engagement Innovation Fund Program FY 2025,DOS-MKD,posted,11/04/2024,01/31/2025
https://www.grants.gov/search-results-detail/356947,U.S. Ambassadors Fund for Cultural Preservation – Albania,DOS-ALB,posted,11/04/2024,12/13/2024
https://www.grants.gov/search-results-detail/356961,Cooperative Agreement for CESU-affiliated Partner with Great Rivers Cooperative Ecosystem Studies Unit,DOI-USGS1,posted,11/04/2024,12/04/2024
https://www.grants.gov/search-results-detail/356962,Cooperative Agreement for CESU-affiliated Partner with Great Rivers Cooperative Ecosystem Studies Unit,DOI-USGS1,posted,11/04/2024,12/04/2024
https://www.grants.gov/search-results-detail/356964,RFI on Geologic Hydrogen Resource Exploration,DOE-ARPAE,posted,11/04/2024,12/02/2024
https://www.grants.gov/search-results-detail/356965,Cooperative Agreement for CESU-affiliated Partner with Chesapeake Watershed Cooperative Ecosystem Studies Unit,DOI-USGS1,posted,11/04/2024,12/04/2024
https://www.grants.gov/search-results-detail/356967,Cooperative Agreement for CESU-affiliated Partner with Rocky Mountain Cooperative Ecosystem Studies Unit,DOI-USGS1,posted,11/04/2024,12/04/2024
https://www.grants.gov/search-results-detail/356954,OJJDP FY25 Juvenile Drug Treatment Court Program – Invited to Apply Administrative Funding Adjustment,USDOJ-OJP-OJJDP,posted,11/04/2024,11/18/2024
https://www.grants.gov/search-results-detail/356959,Safety Matters: Managing Relationships in Women’s Facilities,USDOJ-BOP-NIC,posted,11/04/2024,12/15/2024
https://www.grants.gov/search-results-detail/356956,Addressing Challenges in Detecting New Drugs: Instrumentation for Alternative Analytical Methods (R43/R44 - Clinical Trials Optional),HHS-NIH11,posted,11/04/2024,02/19/2025
https://www.grants.gov/search-results-detail/356963,Addressing Challenges in Detecting New Drugs: Instrumentation for Alternative Analytical Methods (R41/R42 - Clinical Trials Optional),HHS-NIH11,posted,11/04/2024,02/19/2025
https://www.grants.gov/search-results-detail/356955,Native American Library Services Basic Grant (2025),IMLS,posted,11/04/2024,02/04/2025
https://www.grants.gov/search-results-detail/356958,Cooperative Agreement for CESU-affiliated Partner with Southern Appalachian Mountains Cooperative Ecosystem Studies Unit (CESU),DOI-USGS1,posted,11/04/2024,12/04/2024
https://www.grants.gov/search-results-detail/356960,Cooperative Agreement for CESU-affiliated Partner with Rocky Mountains Cooperative Ecosystems Studies Unit (CESU),DOI-USGS1,posted,11/04/2024,12/04/2024
https://www.grants.gov/search-results-detail/356950,NCI Clinical and Translational Exploratory/Developmental Studies (R21 Clinical Trial Optional),HHS-NIH11,posted,11/04/2024,07/01/2025
https://www.grants.gov/search-results-detail/356953,Innovation Grants to Nurture Initial Translational Efforts (IGNITE): Neurotherapeutic Agent Characterization and In vivo Efficacy Studies (R61/R33 Clinical Trial Not Allowed),HHS-NIH11,posted,11/04/2024,10/20/2027
https://www.grants.gov/search-results-detail/356952,Combating Antibiotic-Resistant Bacteria Interdisciplinary Units (CARBIRUs) (P01 Clinical Trial Not Allowed),HHS-NIH11,posted,11/04/2024,03/26/2025
